Form,Lemma,UPosTag,XPosTag,feature,Head,DepRel,Deps,Misc,Original_POS
Abilanté,_,NOUN,_,_,_,_,_,Traducción: o movimiento en el cuerpo para realizar un oficio_,adv. pal.
Abraká,_,VERB,_,_,_,_,_,Traducción: fuerte a una persona o a un objeto_,v. pal.
Ambrakambraka,_,NOUN,_,_,_,_,_,_,sust. pal.
Abrí,_,NOUN,_,Gender=Masc,_,_,_,Traducción: Abril mes_,m.
Achake,_,NOUN,_,_,_,_,_,Traducción: alteración más o menos_,exp. pal.
Achichá,_,VERB,_,_,_,_,_,_,v. pal.
Achiká,_,VERB,_,_,_,_,_,Traducción: el agua_,v. pal.
Aklamalo,aklamá,VERB,_,_,_,_,_,Traducción: Aclamar_,v.
Agaritá,_,VERB,_,_,_,_,_,Traducción: todo_,y. pal.
Aggún,_,DET,_,PronType=Ind,_,_,_,_,adj. indef.
Aguaita,_,VERB,_,_,_,_,_,_,v. pal.
Agualá,_,INTJ,_,_,_,_,_,Traducción: Ojalá_,adv. m.
Agüé,_,ADV,_,_,_,_,_,Traducción: Hoy_,adv. £.
Ajá,_,VERB,_,_,_,_,_,Traducción: a una o_,v. pal.
Ajogá,_,VERB,_,_,_,_,_,Traducción: Ahogarse persona en el arroyo_,v.
Ajuindo,Ajuí,VERB,_,VerbForm=Ger,_,_,_,_,v pal.
Akabá,_,VERB,_,_,_,_,_,Traducción: acabó_,y. pal.
Akasioná,_,NOUN,_,_,_,_,_,Traducción: que actúa en contra de_,exp. pal.
Aké,_,ADJ,_,PronType=Dem,_,_,_,Traducción: Aquél_,adj. dem.
Akietá,_,VERB,_,_,_,_,_,_,y pal.
Akkansá,_,VERB,_,_,_,_,_,Traducción: Alcanzar_,v.
Akoddá,_,VERB,_,_,_,_,_,Traducción: Recordar_,y.
Akolá,_,VERB,_,_,_,_,_,Traducción: lo_,y». pal.
Akotumbrá,_,VERB,_,_,_,_,_,Traducción: Acostumbrase a algo o alguien_,y.
Alá,_,NOUN,_,_,_,_,_,_,_
Alendro,_,ADV,_,_,_,_,_,Traducción: Dentro de la casa_,adv.!. pal.
Alokumblelo,_,ADJ,_,_,_,_,_,_,ad
Alokutoroson,_,NOUN,_,_,_,_,_,_,susf. pal.
Aloyo,_,NOUN,_,_,_,_,_,Traducción: Arroyo_,sust.
Alumbrá,_,VERB,_,_,_,_,_,_,_
Alumbralo,_,ADJ,_,_,_,_,_,Traducción: Iluminado_,adj.
Amanesé,_,NOUN,_,_,_,_,_,Traducción: Amanecer_,sust.
Ambe,_,ADV,_,_,_,_,_,Traducción: Hambre_,adv.
Amblasá,_,VERB,_,_,_,_,_,_,y pal.
Anchoba,_,NOUN,_,_,_,_,_,Traducción: a puños entre una_,susí. pal.
Andá,_,VERB,_,_,_,_,_,Traducción: Vete_,y
Andudero,_,NOUN,_,_,_,_,_,Traducción: que intenta hacer varios_,exp. pal.
Ané jué,_,exp comp,_,_,_,_,_,_,pron. pers.
Ané jué trelo,_,exp comp,_,_,_,_,_,_,exp. pal.
Ané nú,_,Exp comp,_,_,_,_,_,Traducción: pal_,pron. +
Ané,_,PRON,_,_,_,_,_,Traducción: Ellos_,pron pers.
Aneba,ané,PRON,_,PAST,_,_,_,Traducción: pal_,exp. +
Anginí,_,NOUN,_,_,_,_,_,Traducción: Forastero_,susf.
Angoto,_,ADJ,_,_,_,_,_,Traducción: Angosto_,adj.
Animá,_,NOUN,_,_,_,_,_,Traducción: Animal_,susf.
Anje,_,NOUN,_,Gender=Masc,_,_,_,Traducción: Ángel_Etilomogía: Kikongo,s.m.
Ansusú,_,NOUN,_,_,_,_,_,_Etilomogía: Karibali,susí. kik.
Añigotá,_,VERB,_,_,_,_,_,Traducción: Sentarse_Etilomogía: Karibali,y. v.
Añú,_,INTJ,_,_,_,_,_,_,exp. v.kbli.
Añuñío,_,ADJ,_,_,_,_,_,_,adj. v.
Apagriná,_,VERB,_,_,_,_,_,_,y pal.
Apatá,_,VERB,_,_,_,_,_,Traducción: no_,y. pal.
Apatí,_,VERB,_,_,_,_,_,Traducción: un_,yv. pal.
Apelé,_,VERB,_,_,_,_,_,_,v. pal.
Apesé,_,VERB,_,_,_,_,_,_Etilomogía: Bantú,y. pal.
Apokoló,_,NOUN,_,_,_,_,_,Traducción: de_,exp. btú.
Aporriá,_,VERB,_,_,_,_,_,Traducción: a_,y. pal.
Apurá,_,VERB,_,_,_,_,_,_,v. pal.
Arajo,_,INTJ,_,_,_,_,_,Traducción: Carajo_,exp.
Arelite,_,NOUN,_,_,_,_,_,_,sust. pal.
Ari,_,VERB,_,_,_,_,_,_,v pal.
Arorá,_,VERB,_,_,_,_,_,_Etilomogía: Kikongo,y. pal.
A salá,_,exp comp,_,_,_,_,_,Traducción: saló la_Etilomogía: Kikongo,exp. kik.
Asá ngunba,_,exp comp,_,_,_,_,_,_,v. kik.
Asaúra,_,NOUN,_,_,_,_,_,_,sust. pal.
Asína jué,_,exp comp,_,_,_,_,_,Traducción: es_,exp. pal.
Asína nú,_,exp comp,_,_,_,_,_,Traducción: no_,exp. pal.
Asomá,_,VERB,_,_,_,_,_,Traducción: a_,v. pal.
Asotalo,_,VERB,_,_,_,_,_,Traducción: orden_,y. pal.
Atendé,_,VERB,_,_,_,_,_,_,y. pal.
